Commodore Ter,Massachusetts,18719012,-71.12907,42.2557,-71.12944091,42.25530182,25,25,140104,25025140104,25025140104,Random Tract,0.000544171,0.147789709
N Ambassador Dr,Missouri,21698722,-94.68212727,39.30695364,-94.68211909,39.30901182,29,165,30201,29165030201,29165030201,Random Tract,0.002058196,0.147897899
Grinnell St,Michigan,20776482,-83.01762273,42.40090909,-83.01311364,42.40106909,26,163,504700,26163504700,26163504700,Random Tract,0.004511928,0.148452383
Bloomingdale Dr,New York,28616447,-73.78820636,40.97722273,-73.78820273,40.97994273,36,119,6801,36119006801,36119006801,Random Tract,0.002720002,0.151169286
Saguare Cmn,California,5550565,-121.9062473,37.50081091,-121.9043227,37.50104909,6,1,443200,6001443200,6001443200,Random Tract,0.001939282,0.155475345
3rd St,Texas,37429346,-101.8479773,33.59435273,-101.8490936,33.59435182,48,303,700,48303000700,48303000700,Random Tract,0.0011163,0.156615829
Furman Ave,New York,28605403,-73.85066636,40.90163091,-73.84973364,40.90281636,36,5,44000,36005044000,36005044000,Random Tract,0.001508396,0.165255255
Washington St,Massachusetts,18420100,-72.57801,42.15111364,-72.57791,42.15027909,25,13,810700,25013810700,25013810700,Random Tract,0.00084052,0.169601128
S Parent St,Michigan,20554065,-83.39107364,42.30989636,-83.39102273,42.30852636,26,163,568200,26163568200,26163568200,Random Tract,0.001370946,0.17077127
Hedley St,Pennsylvania,33322660,-75.07419,39.99282,-75.07228091,39.99025364,42,101,18300,42101018300,42101018300,Random Tract,0.003198567,0.173048555
Berkeley Rd,Ohio,30105979,-81.56432364,41.51060455,-81.56083818,41.50988273,39,35,140701,39035140701,39035140701,Random Tract,0.003559418,0.184008275
Victoria Dr,Florida,10719775,-82.79112273,28.01574909,-82.79106,28.01668818,12,103,27101,12103027101,12103027101,Random Tract,0.000941183,0.186269712
S 5th St,Indiana,15598937,-87.41123545,39.45560273,-87.41123545,39.45242273,18,167,800,18167000800,18167000800,Random Tract,0.00318,0.197862296
Grandview Dr,Kentucky,17643492,-82.63134273,38.44569636,-82.62859,38.44582545,21,19,30500,21019030500,21019030500,Random Tract,0.002755755,0.204222731
Championship Dr,Tennessee,35014366,-89.78482455,35.05256182,-89.78443909,35.05304636,47,157,21342,47157021342,47157021342,Random Tract,0.000619159,0.210042216
Robinson Dr NW,Minnesota,21473615,-93.29959727,45.16483636,-93.29978091,45.16570727,27,3,50608,27003050608,27003050608,Random Tract,0.000890061,0.210656201
Driveway,California,6180144,-121.9250655,38.45078636,-121.9249973,38.45093273,6,95,252904,6095252904,6095252904,Random Tract,0.000161479,0.2136846
E Travis Blvd,California,6294449,-122.0209691,38.25814818,-122.0199891,38.25814636,6,95,252607,6095252607,6095252607,Random Tract,0.000980002,0.219482318
Raina Dr,Virginia,42092569,-77.45264727,38.84143091,-77.45225,38.84267273,51,59,491200,51059491200,51059491200,Random Tract,0.001303818,0.220610015
Hillview Dr,West Virginia,44292287,-82.37012364,38.42567455,-82.36349636,38.42395727,54,11,200,54011000200,54011000200,Random Tract,0.006846159,0.222523314
Lander Rd,Ohio,30114678,-81.46325727,41.52358091,-81.46324545,41.52006727,39,35,172101,39035172101,39035172101,Random Tract,0.00351366,0.224765071
74th St,Iowa,13374747,-93.7195,41.64559545,-93.71951364,41.64781364,19,153,10404,19153010404,19153010404,Random Tract,0.002218232,0.229195176
Parker Pike,Pennsylvania,32226302,-79.73480273,41.13387273,-79.74126182,41.13919727,42,19,910100,42019910100,42019910100,Random Tract,0.008370817,0.23046405
Rocky Dale Ln,North Carolina,24302489,-80.53264091,35.97533727,-80.53850091,35.97511818,37,59,80200,37059080200,37059080200,Random Tract,0.005864094,0.237099267
Tower Hill Dr,Illinois,15010449,-88.35279273,41.91263091,-88.35161091,41.90950545,17,89,852202,17089852202,17089852202,Random Tract,0.003341437,0.239411882
Airport Service Dr,Louisiana,17938920,-93.83226,32.44316909,-93.83020455,32.44211182,22,17,23500,22017023500,22017023500,Random Tract,0.002311427,0.243937444
Winter Park Ln,Florida,11403155,-80.1026,26.79578636,-80.10016636,26.79573364,12,99,1004,12099001004,12099001004,Random Tract,0.002434211,0.244066588
Newport Ave,California,7874569,-117.8197145,33.74047091,-117.8192473,33.74093818,6,59,75507,6059075507,6059075507,Random Tract,0.00066077,0.247478278
Globe St,Texas,40565502,-95.23311273,29.65022273,-95.23714909,29.65013182,48,201,320900,48201320900,48201320900,Random Tract,0.004037384,0.253538163
Bordeaux St,Alabama,3082360,-88.08618364,30.65224091,-88.08580636,30.65083,1,97,2302,1097002302,1097002302,Random Tract,0.001460482,0.255822854
59th St,New York,28677831,-73.90876091,40.72469364,-73.90863727,40.72398818,36,81,52900,36081052900,36081052900,Random Tract,0.000716213,0.25747905
Boulder Dr,Virginia,41862399,-77.42947182,38.44374091,-77.42767909,38.44222273,51,179,10210,51179010210,51179010210,Random Tract,0.002349202,0.264204946
12th St N,Florida,10650606,-82.65079818,27.79020273,-82.65081727,27.79119818,12,103,23300,12103023300,12103023300,Random Tract,0.000995633,0.264801234
28th St,Alabama,3290063,-87.57949091,33.23539545,-87.58138818,33.23547909,1,125,10403,1125010403,1125010403,Random Tract,0.001899113,0.266310428
Port of New Orleans Pl,Louisiana,18347863,-90.06246727,29.94573545,-90.06226545,29.94396818,22,71,5700,22071005700,22071005700,Random Tract,0.001778756,0.269099408
I 680,Ohio,30184597,-80.62564182,41.07312,-80.62521364,41.07106182,39,99,801200,39099801200,39099801200,Random Tract,0.002102247,0.272630126
Lake Limestone Dr,Louisiana,18194423,-91.04944364,30.41439727,-91.04936545,30.41225364,22,33,3907,22033003907,22033003907,Random Tract,0.002145056,0.274830712
I 74,Ohio,29238939,-84.74918727,39.22612364,-84.74562273,39.22416455,39,61,26002,39061026002,39061026002,Random Tract,0.004067429,0.275812628
Valley View Ln,Texas,38168120,-97.02353636,32.83142727,-97.02259545,32.83242273,48,113,14403,48113014403,48113014403,Random Tract,0.001369764,0.277699499
Euclid Square Mall,Ohio,30110944,-81.50963364,41.59189636,-81.50446091,41.59596818,39,35,152303,39035152303,39035152303,Random Tract,0.006583073,0.277705198
Bardsley St,Massachusetts,18534905,-71.12245182,41.68834091,-71.12194455,41.68825455,25,5,641600,25005641600,25005641600,Random Tract,0.000514569,0.281546606
Lake Rd,Ohio,30235414,-81.65422818,39.35557818,-81.65148636,39.36617455,39,167,21700,39167021700,39167021700,Random Tract,0.010945348,0.285663178
73rd Ave NE,Minnesota,21480468,-93.24353455,45.10050455,-93.24283727,45.10050909,27,3,51103,27003051103,27003051103,Random Tract,0.000697295,0.290452464
Brookline St,Virginia,41956215,-77.51653909,37.50011182,-77.51695455,37.50003818,51,760,70700,51760070700,51760070700,Random Tract,0.000421936,0.291095805
Wakonda View Dr,Iowa,13406626,-93.64506818,41.54667,-93.64978727,41.54668,19,153,4502,19153004502,19153004502,Random Tract,0.004719101,0.292387721
157th St,Illinois,15355830,-87.74386818,41.60674091,-87.74628364,41.60670455,17,31,825000,17031825000,17031825000,Random Tract,0.002415734,0.293577034
Driveway,California,7917928,-117.6347582,33.60220091,-117.6342727,33.60136,6,59,32038,6059032038,6059032038,Random Tract,0.000970999,0.297360406
Criswell St,Iowa,13730867,-90.43500364,41.57261182,-90.43501182,41.57873727,19,163,10102,19163010102,19163010102,Random Tract,0.006125455,0.303075933
Hartley Dr,California,8042052,-117.2578891,32.82738818,-117.2597664,32.82856727,6,73,8311,6073008311,6073008311,Random Tract,0.002216869,0.307406106
Camp Alley St,Ohio,30262915,-82.43394545,40.05408818,-82.43511364,40.05412818,39,89,753600,39089753600,39089753600,Random Tract,0.001168875,0.31485279
S 127th East Ave,Oklahoma,30945100,-95.83493182,36.13910455,-95.83482727,36.13814273,40,143,7310,40143007310,40143007310,Random Tract,0.000967486,0.327940432
SE Oregon St,Washington,43007285,-122.6317373,47.49552818,-122.63451,47.49566182,53,35,92801,53035092801,53035092801,Random Tract,0.002775919,0.329956081
National Ave,Illinois,14589929,-89.07922364,42.28244636,-89.07734818,42.28314727,17,201,3000,17201003000,17201003000,Random Tract,0.002002155,0.330916931
Maunakea St,Hawaii,13082157,-157.8636255,21.31181182,-157.8628655,21.31227727,15,3,5200,15003005200,15003005200,Random Tract,0.000891204,0.336609593
S 2nd St,Wisconsin,44201593,-87.91260546,43.01605,-87.91259,43.01423273,55,79,16500,55079016500,55079016500,Random Tract,0.001817336,0.336864792
Old Stage Rd,Maryland,19302540,-76.63339818,39.13883636,-76.63358,39.14118909,24,3,740201,24003740201,24003740201,Random Tract,0.002359745,0.346420357
Grilley Rd,Connecticut,9356855,-73.00336182,41.59022545,-73.00222182,41.58857727,9,9,361200,9009361200,9009361200,Random Tract,0.00200402,0.346685329
Woody Ln,Texas,38064444,-97.25456909,32.65853818,-97.25263727,32.65851545,48,439,111102,48439111102,48439111102,Random Tract,0.001931954,0.346935472
2nd Ave,Alabama,3413761,-86.97751727,34.80936,-86.97862273,34.80938273,1,83,20600,1083020600,1083020600,Random Tract,0.001105694,0.349556865
I 390,New York,28099982,-77.83987182,42.74463273,-77.83994545,42.74928818,36,51,30800,36051030800,36051030800,Random Tract,0.004656032,0.354556671
,Colorado,9011583,-105.0767973,40.43442909,-105.0763664,40.43442182,8,69,1707,8069001707,8069001707,Random Tract,0.000430961,0.367621791
S Halsted St,Illinois,15391238,-87.64306182,41.71238,-87.64301727,41.71055455,17,31,730600,17031730600,17031730600,Random Tract,0.001825994,0.371508297
N Pete Dawson Rd,Arizona,5100831,-110.9846427,32.31736818,-110.9846973,32.31849091,4,19,4617,4019004617,4019004617,Random Tract,0.001124057,0.37373661
Main St,Pennsylvania,32010995,-80.09061364,40.38161909,-80.09219364,40.37869091,42,3,470400,42003470400,42003470400,Random Tract,0.003327257,0.377501251
Stanmore Dr,Texas,40475005,-95.41625636,29.74974909,-95.41725818,29.74954909,48,201,411100,48201411100,48201411100,Random Tract,0.001021589,0.378847816
London Bridge Rd,Virginia,42442149,-76.05212,36.82419909,-76.05250455,36.82635182,51,810,45000,51810045000,51810045000,Random Tract,0.002186807,0.381846657
Small Tree Ct,Illinois,15053567,-88.21197091,41.83226273,-88.21129818,41.83214091,17,43,841601,17043841601,17043841601,Random Tract,0.000683671,0.388403945
Swift Rd,Florida,10938267,-82.51408364,27.29075182,-82.51409182,27.29011182,12,115,1704,12115001704,12115001704,Random Tract,0.000640052,0.396409955
Anchor Watch Dr,South Carolina,34355971,-80.15991,32.64670455,-80.16423455,32.64380273,45,19,2200,45019002200,45019002200,Random Tract,0.005207907,0.39899932
Jerome St,California,7656024,-117.4243709,33.95253636,-117.4243618,33.95007818,6,65,31002,6065031002,6065031002,Random Tract,0.002458197,0.400507031
Thornton Pl,Alabama,3079012,-88.15604091,30.67250818,-88.15602182,30.67048909,1,97,3203,1097003203,1097003203,Random Tract,0.00201918,0.403383463
Walther Blvd,Maryland,19372610,-76.49359455,39.40646636,-76.49220182,39.40800727,24,5,411410,24005411410,24005411410,Random Tract,0.002077041,0.403847079
W Palmer St,Illinois,15186197,-87.71802091,41.92095818,-87.71920182,41.92082273,17,31,220900,17031220900,17031220900,Random Tract,0.001188653,0.404274814
Harlow Blvd,Florida,10185737,-81.75520273,30.25882273,-81.75520636,30.25800364,12,31,12800,12031012800,12031012800,Random Tract,0.000819098,0.412577774
Sonoma Ct,Rhode Island,33762172,-71.44179909,41.81952636,-71.44199818,41.82039727,44,7,1900,44007001900,44007001900,Random Tract,0.000893376,0.415550462
Muskogee St,Texas,39362256,-98.58521727,29.41584364,-98.58777091,29.41596818,48,29,171500,48029171500,48029171500,Random Tract,0.002556675,0.416411411
Driveway,Texas,40162196,-95.49289545,29.97630727,-95.49148182,29.97574545,48,201,551000,48201551000,48201551000,Random Tract,0.001521181,0.422775162
W Harvey St,Pennsylvania,33300453,-75.18450273,40.03250182,-75.18643636,40.03216636,42,101,23900,42101023900,42101023900,Random Tract,0.001962513,0.4244182
Grand Blvd,New York,28589607,-73.91178636,40.84382455,-73.91156636,40.84441182,36,5,22702,36005022702,36005022702,Random Tract,0.000627125,0.429224499
Driveway,Oregon,31389628,-122.7029327,45.53758364,-122.7009309,45.53759818,41,51,4500,41051004500,41051004500,Random Tract,0.002001853,0.431845141
Grand Ave,Minnesota,21411471,-93.15935182,44.94006091,-93.16189909,44.94005545,27,123,35200,27123035200,27123035200,Random Tract,0.002547276,0.435786268
Noice Dr,California,5687102,-121.6513164,36.70190091,-121.6517282,36.70412,6,53,200,6053000200,6053000200,Random Tract,0.002256976,0.450295019
Jasper St,Ohio,29408542,-84.18671182,39.74121,-84.18439818,39.74159909,39,113,3400,39113003400,39113003400,Random Tract,0.002346129,0.452424029
US Hwy 85,Colorado,8838019,-105.0299027,39.57103273,-105.0304518,39.56993455,8,5,5634,8005005634,8005005634,Random Tract,0.001227807,0.459408919
N River View Ave,Florida,10827630,-82.47879818,27.97832182,-82.47799818,27.97926,12,57,2700,12057002700,12057002700,Random Tract,0.001232956,0.460832666
Cohen St,Georgia,13002793,-80.99750091,31.97361818,-80.99791182,31.97467091,13,51,11105,13051011105,13051011105,Random Tract,0.001130083,0.469386032
SE 135th St,Florida,10319358,-81.89552364,29.02573455,-81.90429182,29.02576091,12,83,701,12083000701,12083000701,Random Tract,0.00876822,0.475915171
National Cemetery,Tennessee,36053328,-85.28933727,35.03514091,-85.29227636,35.03406182,47,65,1400,47065001400,47065001400,Random Tract,0.003130924,0.477722374
N 131st Dr,Kansas,16913360,-94.88100364,39.17673273,-94.88096909,39.17904182,20,209,44803,20209044803,20209044803,Random Tract,0.002309348,0.478195678
Riviera Pl NE,Washington,42797785,-122.2766264,47.71081545,-122.2780073,47.71591727,53,33,900,53033000900,53033000900,Random Tract,0.0052854,0.480463745
E 41st St,New Jersey,26654929,-74.13723727,40.9034,-74.13751273,40.90246818,34,31,182600,34031182600,34031182600,Random Tract,0.000971682,0.484576805
E Richfield Rd,Michigan,20461051,-83.57051,43.06259091,-83.56305636,43.06283091,26,49,11800,26049011800,26049011800,Random Tract,0.007457503,0.488568142
Hanover Park Dr,Florida,10238460,-81.45540636,30.26701182,-81.45439909,30.26502364,12,31,14405,12031014405,12031014405,Random Tract,0.002228778,0.491791246
