San Jose St,California,7222452,-118.5025109,34.26114182,-118.5044682,34.26116,6,37,111301,6037111301,6037111301,Random Urban,0.419353975
E Lynne Ln,Arizona,4748420,-111.9899,33.39135818,-111.9861455,33.39163,4,13,116202,4013116202,4013116202,Random Urban,0.433352447
Muldoon Rd,Alaska,2983627,-149.7334591,61.20259091,-149.7334591,61.20032455,2,20,1731,2020001731,2020001731,Random Urban,0.438362569
Alley,New York,28697249,-73.87876818,40.72521,-73.87725182,40.72330727,36,81,67102,36081067102,36081067102,Random Urban,0.442017289
161st St,New York,28646892,-73.80514455,40.75881909,-73.80546091,40.75646909,36,81,119100,36081119100,36081119100,Random Urban,0.442213958
Telstar Loop NW,New Mexico,27137436,-106.7125209,35.09792818,-106.7125518,35.09854636,35,1,4705,35001004705,35001004705,Random Urban,0.451530212
Crescent Ave,Missouri,21752116,-94.46760818,39.03452182,-94.46733727,39.03427091,29,95,10600,29095010600,29095010600,Random Urban,0.456883744
Robertson St,Texas,40502083,-95.35746182,29.80662909,-95.35748091,29.80723,48,201,210700,48201210700,48201210700,Random Urban,0.468037464
N 56th St,Wisconsin,44156256,-87.98254,43.10836727,-87.98248364,43.11202545,55,79,2900,55079002900,55079002900,Random Urban,0.477790452
Cedar Valley Ter,Oklahoma,30597480,-97.53548909,35.35327545,-97.537,35.35174727,40,27,201802,40027201802,40027201802,Random Urban,0.478244245
E 37th St,New York,28656911,-73.93972182,40.61841182,-73.93788273,40.61674818,36,47,64800,36047064800,36047064800,Random Urban,0.49406935
Robert E Lee Blvd,Louisiana,18311409,-90.07399818,30.02116545,-90.07347818,30.02118364,22,71,3301,22071003301,22071003301,Random Urban,0.509570023
Encino Bow,Texas,39336220,-98.44795364,29.62464182,-98.44801,29.62436364,48,29,121902,48029121902,48029121902,Random Urban,0.524346566
Kittiwake Dr,Kentucky,17486941,-84.46554818,37.97800818,-84.46815,37.97783091,21,67,3405,21067003405,21067003405,Random Urban,0.534577478
Castor Ave,Pennsylvania,33410539,-75.05190273,40.06617182,-75.05118636,40.06662909,42,101,33700,42101033700,42101033700,Random Urban,0.543862965
229th St,New York,28949096,-73.72962182,40.69783091,-73.73051545,40.69608636,36,81,59400,36081059400,36081059400,Random Urban,0.561092356
Bluffcrest,Texas,39330941,-98.49999909,29.56351,-98.49756818,29.56270727,48,29,191402,48029191402,48029191402,Random Urban,0.570581028
16th St,New York,28661935,-73.97801364,40.65925636,-73.97564455,40.65811364,36,47,17100,36047017100,36047017100,Random Urban,0.576813138
N Medina St,Texas,39399864,-98.50500364,29.42702273,-98.50488818,29.42791364,48,29,110600,48029110600,48029110600,Random Urban,0.578874837
Driveway,Michigan,20288885,-83.77910636,42.28503727,-83.77884636,42.28548364,26,161,403400,26161403400,26161403400,Random Urban,0.595884776
Bishop Dr,Hawaii,13083545,-157.8623236,21.33968636,-157.8621709,21.33900364,15,3,4800,15003004800,15003004800,Random Urban,0.596225666
23rd Ave,Washington,42742112,-122.3027727,47.60902364,-122.3027591,47.61002364,53,33,8800,53033008800,53033008800,Random Urban,0.59647765
,Alabama,3239999,-86.15997818,32.27936727,-86.15487091,32.28031727,1,101,5601,1101005601,1101005601,Random Urban,0.610360335
,Colorado,9050475,-105.0494445,39.65344364,-105.0511136,39.65356364,8,31,4801,8031004801,8031004801,Random Urban,0.631083102
W Farragut Ave,Illinois,15259285,-87.68430818,41.97688273,-87.68677727,41.97683727,17,31,40100,17031040100,17031040100,Random Urban,0.633917834
Arnold St,Pennsylvania,32016249,-80.04788909,40.43988636,-80.04912727,40.43989273,42,3,281500,42003281500,42003281500,Random Urban,0.646456086
8th Ave,New York,28666605,-74.00251727,40.73975364,-74.00200727,40.74044455,36,61,8100,36061008100,36061008100,Random Urban,0.649438976
I 678,New York,28705769,-73.83514636,40.73247273,-73.83464,40.73149909,36,81,79300,36081079300,36081079300,Random Urban,0.676050525
Gold Dust Dr,Texas,39356261,-98.67616636,29.42939364,-98.6695,29.43015909,48,29,171910,48029171910,48029171910,Random Urban,0.677364967
E 115th St,New York,28596945,-73.94535818,40.79929545,-73.94390182,40.79866545,36,61,18400,36061018400,36061018400,Random Urban,0.681388897
William St,Nebraska,25846310,-96.17511,41.24530364,-96.17621727,41.24574727,31,55,7450,31055007450,31055007450,Random Urban,0.683235753
N Booth Ct,Missouri,21771304,-94.47967636,39.25847909,-94.47976818,39.25896364,29,47,21304,29047021304,29047021304,Random Urban,0.704590113
I 30,Texas,38302648,-97.13660818,32.75992909,-97.14029818,32.75993636,48,439,113108,48439113108,48439113108,Random Urban,0.724338231
Falcons Height,Texas,39732564,-98.36034545,29.55801182,-98.36216455,29.55708273,48,29,121803,48029121803,48029121803,Random Urban,0.752786102
Allister St,Texas,38263999,-96.87734818,32.90774818,-96.8743,32.90681636,48,113,9611,48113009611,48113009611,Random Urban,0.781227251
32nd Ave,New York,28627580,-73.86882818,40.75917091,-73.86780091,40.75927909,36,81,36300,36081036300,36081036300,Random Urban,0.790861467
Durbridge Rd,Ohio,29527782,-82.97431909,40.08907,-82.97098909,40.08938545,39,49,6943,39049006943,39049006943,Random Urban,0.79500451
E Bluefield St,Arizona,5158569,-110.8039855,32.21661273,-110.8031718,32.21666636,4,19,4049,4019004049,4019004049,Random Urban,0.814192751
Birch St,Alaska,2971834,-149.8713427,61.22885909,-149.8707427,61.22987818,2,20,500,2020000500,2020000500,Random Urban,0.824518874
Kent Ave,New York,28673428,-73.95899364,40.69263,-73.95874273,40.69131909,36,47,23500,36047023500,36047023500,Random Urban,0.835301017
6th Ave,New Jersey,28561006,-74.19579,40.62220727,-74.19838364,40.61988545,36,85,29102,36085029102,36085029102,Random Urban,0.846205899
Empire Blvd,New York,28683671,-73.93993818,40.66390727,-73.93715636,40.66375273,36,47,33100,36047033100,36047033100,Random Urban,0.848662494
Coast Blvd,California,8038146,-117.2740818,32.84945818,-117.2729345,32.85003818,6,73,8200,6073008200,6073008200,Random Urban,0.854976323
Shepard Rd,Minnesota,21432215,-93.10878818,44.93615545,-93.11282545,44.93325818,27,123,36000,27123036000,27123036000,Random Urban,0.864108406
I 35E,Texas,38356476,-96.82440636,32.73280636,-96.82455909,32.73237727,48,113,5400,48113005400,48113005400,Random Urban,0.885005046
Greene Ave,New York,28679363,-73.93354091,40.69042818,-73.93062818,40.69075727,36,47,29100,36047029100,36047029100,Random Urban,0.889841873
W 44th Pl,Illinois,15330146,-87.74703,41.81185091,-87.74808636,41.81181273,17,31,560200,17031560200,17031560200,Random Urban,0.891103112
S 13th St,New Jersey,26629589,-74.20513909,40.73622455,-74.20536091,40.73563273,34,13,3400,34013003400,34013003400,Random Urban,0.892090586
N 144th St,Nebraska,25871488,-96.13885091,41.30239909,-96.13886273,41.29896909,31,55,7431,31055007431,31055007431,Random Urban,0.895444628
Ridgemore Rd NW,Georgia,12112465,-84.44536364,33.82965909,-84.44470091,33.8296,13,121,8901,13121008901,13121008901,Random Urban,0.895871789
S Buffalo Ave,Illinois,15411997,-87.54439273,41.73566727,-87.54437727,41.73385364,17,31,460700,17031460700,17031460700,Random Urban,0.9081673
Driveway,Wisconsin,43795724,-89.34864182,43.04130818,-89.34768182,43.04079364,55,25,1502,55025001502,55025001502,Random Urban,0.941145334
E Escalante Rd,Arizona,5155516,-110.8227318,32.17740273,-110.8212682,32.17745182,4,19,4036,4019004036,4019004036,Random Urban,0.94727504
S Plant Ave,Florida,10830311,-82.46278909,27.94006818,-82.46290182,27.93883364,12,57,5500,12057005500,12057005500,Random Urban,0.972357626
Galleria Cv,Texas,39837031,-97.75807273,30.41295727,-97.75803818,30.41261273,48,453,1758,48453001758,48453001758,Random Urban,0.979067166
Avenue of the Americas,New York,28666932,-74.00427818,40.72483,-74.00401545,40.72549,36,61,5100,36061005100,36061005100,Random Urban,0.990305381
Villa Loma Dr,Colorado,8921267,-104.7314636,38.86794182,-104.7311364,38.86957727,8,41,5800,8041005800,8041005800,Random Urban,0.993700078